actor,movie_or_TV_name
Elizabeth Spriggs,Alice in Wonderland
Elizabeth Spriggs,Sense and Sensibility
Elizabeth Spriggs,Middlemarch
Elizabeth Spriggs,Julius Caesar
Elizabeth Spriggs,Afternoon Off
Elizabeth Spriggs,The Glittering Prizes
Elizabeth Spriggs,Martin Chuzzlewit
Elizabeth Spriggs,The Kindness of Mrs Radcliffe
Elizabeth Spriggs,Black and Blue
Harry Taylor,Mission Manila
Harry Taylor,Dark Shadows
Harry Taylor,The Trip to Greece
Harry Taylor,The Da Vinci Code
Harry Taylor,Demon of Paradise
Harry Taylor,Enid
Harry Taylor,Charlie and the Chocolate Factory
Harry Taylor,Harry Potter and the Chamber of Secrets
Harry Taylor,Harry Potter and the Philosopher's Stone
Harry Taylor,Alice in Wonderland
Harry Taylor,Sweeney Todd: The Demon Barber of Fleet Street
Elizabeth Spriggs,The Old Devils
Elizabeth Spriggs,Doctor Who: Paradise Towers
Elizabeth Spriggs,3 Into 2 Won't Go
Elizabeth Spriggs,The Sleeper
Elizabeth Spriggs,Sherlock Holmes
Elizabeth Spriggs,Fox
Elizabeth Spriggs,The Ruth Rendell Mysteries
Elizabeth Spriggs,Nice Guy Eddie
Elizabeth Spriggs,The Expert
Elizabeth Spriggs,The Hour of the Pig
Elizabeth Spriggs,Leeds United!
Elizabeth Spriggs,Wives and Daughters
Elizabeth Spriggs,Sakharov
Elizabeth Spriggs,Heartbeat
Elizabeth Spriggs,Parker
Elizabeth Spriggs,Class Act
Elizabeth Spriggs,Randall & Hopkirk (Deceased)
Elizabeth Spriggs,James Ellis: An Actor's Life
Elizabeth Spriggs,Agatha Christie's Poirot
Elizabeth Spriggs,Doctor Who
Elizabeth Spriggs,The Devil's Disciple
Elizabeth Spriggs,The Secret Agent
Elizabeth Spriggs,Our Winnie
Elizabeth Spriggs,A Christmas Carol
Elizabeth Spriggs,The Dybbuk
Elizabeth Spriggs,Paradise Road
Elizabeth Spriggs,Tales of the Unexpected
Elizabeth Spriggs,Able's Will
Elizabeth Spriggs,Midsomer Murders
Elizabeth Spriggs,Love Letters on Blue Paper
Elizabeth Spriggs,Work Is a 4-Letter Word
Elizabeth Spriggs,Spider's Web
Elizabeth Spriggs,Casualty
Elizabeth Spriggs,Young Charlie Chaplin
Elizabeth Spriggs,Lovejoy
Elizabeth Spriggs,The Royal
Elizabeth Spriggs,A Pinch of Snuff
Elizabeth Spriggs,The Cold Room
Elizabeth Spriggs,Harry Potter and the Philosopher's Stone
Verne Troyer,Celebrity Juice: Too Juicy For TV 2!
Verne Troyer,Postal
Verne Troyer,Austin Powers in Goldmember
Verne Troyer,The Girls Next Door
Verne Troyer,Scrubs
Verne Troyer,Fra Sydhavn til West Coast
Verne Troyer,Madonna: The Video Collection 93:99
Verne Troyer,Mighty Joe Young
Verne Troyer,V.I.P.
Verne Troyer,My Giant
Verne Troyer,Through the Keyhole
Verne Troyer,Celebrity Big Brother
Verne Troyer,Teen Choice Awards
Verne Troyer,Keith Lemon: The Film
Verne Troyer,Playboy Mansion Parties Uncensored
Verne Troyer,"Trailer Park Boys: Drunk, High and Unemployed: Live In Austin"
Verne Troyer,Whose Line Is It Anyway?
Verne Troyer,Pinocchio's Revenge
Verne Troyer,Half & Half
Verne Troyer,Instinct
Verne Troyer,The Adventures of Uncle Colt and Cletus: Hedge-Hoggin
Verne Troyer,The Alan Titchmarsh Show
Verne Troyer,Volcano
Verne Troyer,Bit Players
Verne Troyer,Wishmaster
Verne Troyer,Bubble Boy
Verne Troyer,My 90 Year Old Roommate
Verne Troyer,Gnome Alone
Verne Troyer,Boston Public
Verne Troyer,The 420 Movie
Verne Troyer,Masked Rider
Verne Troyer,Live from Studio Five
Verne Troyer,I Hate Christian Laettner
Verne Troyer,College
Verne Troyer,The Surreal Life: Fame Games
Verne Troyer,Raw
Verne Troyer,Celebrity Juice
Verne Troyer,Good Mythical Crew
Verne Troyer,The Love Guru
Verne Troyer,Karroll's Christmas
Verne Troyer,The Surreal Life
Verne Troyer,The Imaginarium of Doctor Parnassus
Verne Troyer,Convenience
Verne Troyer,Hard Cash
Verne Troyer,Shasta McNasty
Verne Troyer,Here Lies Lonely
Verne Troyer,Jack of All Trades
Verne Troyer,The Wacky Adventures of Ronald McDonald: The Visitors from Outer Space
Verne Troyer,Fear and Loathing in Las Vegas
Verne Troyer,Men in Black
Verne Troyer,Pauly Shore Is Dead
Verne Troyer,Welcome to Sweden
Verne Troyer,Jingle All the Way
Verne Troyer,Austin Powers: The Spy Who Shagged Me
Verne Troyer,"Aliens, Clowns & Geeks"
Verne Troyer,The Wacky Adventures of Ronald McDonald: The Legend of Grimace Island
Verne Troyer,E! True Hollywood Story
Verne Troyer,The Wacky Adventures of Ronald McDonald: Scared Silly
Verne Troyer,Harry Potter and the Philosopher's Stone
Verne Troyer,How the Grinch Stole Christmas
Verne Troyer,"Sabrina, the Teenage Witch"
Verne Troyer,The View
Luke Youngblood,Baby Shark's Big Movie
Luke Youngblood,Galavant
Luke Youngblood,White Famous
Luke Youngblood,Fast & Furious Spy Racers
Luke Youngblood,The Story of Tracy Beaker
Luke Youngblood,The IMAX Nutcracker
Luke Youngblood,Community
Luke Youngblood,We Baby Bears
Luke Youngblood,Glitch Techs
Luke Youngblood,"Do, Re & Mi"
Luke Youngblood,Harry Potter: Hogwarts Tournament of Houses
Luke Youngblood,In Hollywoodland
Luke Youngblood,Useless Humans
Luke Youngblood,Dr. Ken
Luke Youngblood,Fantastic Friends
Luke Youngblood,Glee
Luke Youngblood,An Orgy in Joshua Tree
Luke Youngblood,The Witcher: Nightmare of the Wolf
Luke Youngblood,Baby Shark's Big Show!
Luke Youngblood,Bubble Guppies
Luke Youngblood,Harry Potter and the Chamber of Secrets
Luke Youngblood,Harry Potter and the Philosopher's Stone
Bonnie Wright,Agatha Christie: A Life in Pictures
Bonnie Wright,Who Killed Nelson Nutmeg?
Bonnie Wright,David Holmes: The Boy Who Lived
Bonnie Wright,Before I Sleep
Bonnie Wright,My Dad Is Scrooge
Bonnie Wright,Sextant - Pisces
Bonnie Wright,A Christmas Carol
Bonnie Wright,After the Dark
Bonnie Wright,Stranded
Bonnie Wright,Harry Potter and the Prisoner of Azkaban
Bonnie Wright,Medusa's Ankles
Bonnie Wright,The Sea
Bonnie Wright,Know Thyself
Bonnie Wright,The Great Sport Relief Bake Off
Bonnie Wright,Fantastic Friends
Bonnie Wright,"Separate We Come, Separate We Go"
Bonnie Wright,Harry Potter: Wizards of Baking
Bonnie Wright,Sweat
Bonnie Wright,Harry Potter and the Order of the Phoenix
Bonnie Wright,The Replacements
Bonnie Wright,Harry Potter and the Deathly Hallows: Part 2
Bonnie Wright,Harry Potter and the Goblet of Fire
Bonnie Wright,How (Not) to Rob a Train
Bonnie Wright,Those Who Wander
Bonnie Wright,Harry Potter and the Half-Blood Prince
Bonnie Wright,Disney Parks Christmas Day Parade
Bonnie Wright,Harry Potter and the Chamber of Secrets
Bonnie Wright,Harry Potter and the Philosopher's Stone
Bonnie Wright,Harry Potter and the Deathly Hallows: Part 1
Bonnie Wright,Harry Potter 20th Anniversary: Return to Hogwarts
Julie Walters,Wah-Wah
Julie Walters,Melissa
Julie Walters,Car Trouble
Julie Walters,Personal Services
Julie Walters,Sherlock Gnomes
Julie Walters,Comedy Connections
Julie Walters,Requiem Apache
Julie Walters,The Queen's Corgi
Julie Walters,Film Stars Don't Die in Liverpool
Julie Walters,G.B.H.
Julie Walters,Paddington 2
Julie Walters,Gnomeo & Juliet
Julie Walters,Victoria Wood with All the Trimmings
Julie Walters,There's Something About Romcoms
Julie Walters,Wogan
Julie Walters,Victoria Wood
Julie Walters,Dreamchild
Julie Walters,Prick Up Your Ears
Julie Walters,Mamma Mia!
Julie Walters,Victoria Wood In Her Own Words
Julie Walters,Sister My Sister
Julie Walters,The Return
Julie Walters,Master Moley by Royal Invitation
Julie Walters,Mary Poppins Returns
Julie Walters,Me! I'm Afraid of Virginia Woolf
Julie Walters,Unfair Exchanges
Julie Walters,The Legend of Mor'du
Julie Walters,Play for Today
Julie Walters,Mack the Knife
Julie Walters,Acorn Antiques: The Musical
Julie Walters,The Secret Garden
Julie Walters,What Would Julie Do?
Julie Walters,The Harry Hill Movie
Julie Walters,Harry Potter and the Half-Blood Prince
Julie Walters,The Magical World of Julia Donaldson
Julie Walters,Girls' Night
Julie Walters,A Short Stay in Switzerland
Julie Walters,Roald Dahl's Most Marvellous Book
Julie Walters,Acorn Antiques
Julie Walters,Intensive Care
Julie Walters,Occupy!
Julie Walters,Murder
Julie Walters,Wood and Walters
Julie Walters,Intimate Relations
Julie Walters,Driving Lessons
Julie Walters,An Audience with Billy Connolly
Julie Walters,Natural World
Julie Walters,The Queen: 70 Glorious Years
Julie Walters,Boys from the Blackstuff
Julie Walters,Say Something Happened
Julie Walters,Harry Potter and the Prisoner of Azkaban
Julie Walters,My Beautiful Son
Julie Walters,Weasels: Feisty and Fearless
Julie Walters,Parkinson
Julie Walters,Jake's Progress
Julie Walters,Buster
Julie Walters,An Audience with...
Julie Walters,Who Do You Think You Are?
Julie Walters,Victoria Wood's Midlife Christmas
Julie Walters,Brooklyn
Julie Walters,Talent
Julie Walters,Playhouse
Julie Walters,Victoria Wood As Seen On TV
Julie Walters,Objects of Affection
Julie Walters,Chefs' Burnt Bits
Julie Walters,The Ruby in the Smoke
Julie Walters,A Grand Night In: The Story of Aardman
Julie Walters,Nearly a Happy Ending
Julie Walters,Mo
Julie Walters,Stepping Out
Julie Walters,Artsnight
Julie Walters,Bathtime
Julie Walters,This Morning
Julie Walters,Bambino Mio
Julie Walters,Harry Potter and the Deathly Hallows: Part 1
Julie Walters,Mamma Mia! Here We Go Again
Julie Walters,Oliver Twist
Julie Walters,Just Like a Woman
Julie Walters,Calendar Girls
Julie Walters,Becoming Jane
Julie Walters,She'll Be Wearing Pink Pyjamas
Julie Walters,National Theatre Live: The Last of the Haussmans
Julie Walters,The Hollow Crown
Julie Walters,Filth: The Mary Whitehouse Story
Julie Walters,Birthing Mamma Mia!
Julie Walters,Talking Heads
Julie Walters,The Birthday Party
Julie Walters,50 Greatest Harry Potter Moments
Julie Walters,Before You Go
Julie Walters,Victoria Wood's All Day Breakfast
Julie Walters,Effie Gray
Julie Walters,Parkinson at 50
Julie Walters,When Harry Left Hogwarts
Julie Walters,Julie Walters and Friends
Julie Walters,The Glass Box
Julie Walters,Justin and the Knights of Valour
Julie Walters,Wild Rose
Julie Walters,Michael Caine: Breaking the Mold
Julie Walters,An Audience With Victoria Wood
Julie Walters,Paddington
Julie Walters,Theatre Night
Julie Walters,The Secret Diary of Adrian Mole Aged 13¾
Julie Walters,Britain's Busiest Airport: Heathrow
Julie Walters,Days at the Beach
Julie Walters,Brazen Hussies
Julie Walters,Talking Heads 2
Julie Walters,Ahead of the Class
Julie Walters,National Treasure
Julie Walters,The Oscars
Julie Walters,Empire Road
Julie Walters,Harry Potter and the Philosopher's Stone
Julie Walters,Harry Potter and the Deathly Hallows: Part 2
Julie Walters,Jack and the Beanstalk: The ITV Pantomime
Julie Walters,GMTV
Julie Walters,Little Red Riding Hood
Julie Walters,Pat and Margaret
Julie Walters,Happy Since I Met You
Julie Walters,The Jury
Julie Walters,The Graham Norton Show
Julie Walters,Titanic Town
Julie Walters,The Secret Life of Sue Townsend (Aged 68 3/4)
Julie Walters,The Vicar of Dibley: Inside Out
Julie Walters,Victoria Wood's Short Term Memories
Julie Walters,Coastal Railways with Julie Walters
Julie Walters,Hetty Wainthropp Investigates
Julie Walters,The National Television Awards Celebrate 25 Years
Julie Walters,The One Show
Julie Walters,dinnerladies
Julie Walters,"Soldiers Talking, Cleanly"
Julie Walters,The Summer House
Julie Walters,One Chance
Julie Walters,Billy Elliot
Julie Walters,Indian Summers
Julie Walters,Mamma Mia! 3
Julie Walters,Dawn French's Girls Who Do Comedy
Julie Walters,An Audience with Mel Brooks
Julie Walters,Lover's Prayer
Julie Walters,A Life on Screen
Julie Walters,Paddington in Peru
Julie Walters,Moley
Julie Walters,Brave
Julie Walters,Harry Potter and the Order of the Phoenix
Julie Walters,For The Love Of Britain
Julie Walters,The Queen and Us
Julie Walters,Mickybo and Me
Julie Walters,Educating Rita
Julie Walters,Club Havana
Julie Walters,Canterbury Tales
Julie Walters,Wide-Eyed and Legless
Julie Walters,Harry Potter and the Chamber of Secrets
Julie Walters,Very British Problems
Julie Walters,Killing Dad (Or How to Love Your Mother)
Julie Walters,Let's Do It: A Tribute to Victoria Wood
Julie Walters,The Abominable Snow Baby
Devon Murray,Harry Potter and the Deathly Hallows: Part 2
Devon Murray,Harry Potter and the Goblet of Fire
Devon Murray,Damo & Ivor: The Movie
Devon Murray,Yesterday's Children
